2023-03-09 20:17:55,711	log_infos      	1040	INFO    	39412:	Explanation
#######################	###############	####	########	######	###########################################
YYYY-MM-DD HH:MM:SS,mmm	function name  	 lNr	level   	  PID:	Message (lNr: line number, PID: Process ID)
#######################	###############	####	########	######	###########################################

2023-03-09 20:20:05,315	track_bacteria 	  79	INFO    	38676:	fps of file: 50.0
2023-03-09 20:20:05,315	track_bacteria 	  97	INFO    	38676:	Starting with file ./video/SIM+.avi
2023-03-09 20:20:05,414	track_bacteria 	 139	DEBUG   	38676:	Frame height: 600, width: 600
2023-03-09 20:20:07,718	track_bacteria 	 172	DEBUG   	38676:	Frames from file SIM+.avi read.
2023-03-09 20:20:07,833	get_data       	 875	INFO    	38676:	Reading file with size 684.5 KB: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_list.csv 
2023-03-09 20:20:07,856	get_data       	 915	DEBUG   	38676:	Done reading D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_list.csv into data frame
2023-03-09 20:20:07,859	sort_list      	1539	DEBUG   	38676:	Sorted data frame by TRACK_ID.
2023-03-09 20:20:07,960	save_df_to_csv 	1375	DEBUG   	38676:	Selected results saved to: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_list.csv
2023-03-09 20:20:07,960	track_bacteria 	 395	INFO    	38676:	Average frames analysed per second:  35.76, objects:    144, frames:     64 of     65, csv: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_list.csv
2023-03-09 20:20:07,963	metadata_file  	1308	DEBUG   	38676:	Searching for meta file in path: D:\Projects\YSMR_CellSeg\video\2303092020_Results\SIM+_meta.json
2023-03-09 20:20:07,964	metadata_file  	1308	DEBUG   	38676:	Searching for meta file in path: D:\Projects\YSMR_CellSeg\video\SIM+_meta.json
2023-03-09 20:20:07,964	metadata_file  	1308	DEBUG   	38676:	Searching for meta file in path: ./video/SIM+_meta.json
2023-03-09 20:20:07,972	analyse        	 111	DEBUG   	38676:	fps: 50.0
2023-03-09 20:20:07,972	analyse        	 111	DEBUG   	38676:	frame_height: 600
